Year,Zone_A_male,Zone_A_female,Zone_A_music,Zone_B_male,Zone_B_female,Zone_B_music,Zone_C_male,Zone_C_female,Zone_C_music,Zone_A_male_p,Zone_A_female_p,Zone_A_music_p,Zone_B_male_p,Zone_B_female_p,Zone_B_music_p,Zone_C_male_p,Zone_C_female_p,Zone_C_music_p
2001,9998971,3600828,8966528,10108348,3564697,8977699,9993870,3582903,8893419,0.44,0.16,0.4,0.45,0.16,0.4,0.44,0.16,0.4
2002,10179859,3813416,9788168,10236701,3827970,9819040,10131473,3865742,9871310,0.43,0.16,0.41,0.43,0.16,0.41,0.42,0.16,0.41
2003,11327513,4300567,16975302,11349203,4293494,16908061,11415332,4276781,16968995,0.35,0.13,0.52,0.35,0.13,0.52,0.35,0.13,0.52
2004,11321296,3992278,16435059,11365123,4036937,16167551,11367748,4027924,16228661,0.36,0.13,0.52,0.36,0.13,0.51,0.36,0.13,0.51
2005,10783699,3791739,16425330,10749476,3766959,16534995,10848924,3813186,16387765,0.35,0.12,0.53,0.35,0.12,0.53,0.35,0.12,0.53
2006,10585486,3831064,15237990,10579120,3871288,15300063,10349879,3832237,15059497,0.36,0.13,0.51,0.36,0.13,0.51,0.35,0.13,0.52
2007,11283017,4142104,15720618,11602828,4254310,16360128,11353374,4147848,15896936,0.36,0.13,0.5,0.36,0.13,0.51,0.36,0.13,0.51
2008,11523263,4301858,17730986,11511856,4269611,17807688,11646098,4324359,17906850,0.34,0.13,0.53,0.34,0.13,0.53,0.34,0.13,0.53
2009,12146493,4563313,20040431,12116715,4472566,19913610,12257111,4530281,20009942,0.33,0.13,0.55,0.33,0.12,0.55,0.33,0.12,0.54
2010,36612256,13890929,30410251,36706629,13952326,30428225,36797608,13974227,30361837,0.45,0.17,0.38,0.45,0.17,0.38,0.45,0.17,0.37
2011,40543501,16227391,32052778,40610393,16265633,32173653,41170124,16359086,32350386,0.46,0.18,0.36,0.46,0.18,0.36,0.46,0.18,0.36
2012,39071034,15925356,31518685,38993616,15809721,31413282,39134960,15898824,31685899,0.45,0.18,0.36,0.45,0.18,0.36,0.45,0.18,0.37
2013,43848880,18619291,34852526,43810113,18558776,34656771,43425826,18444482,34248309,0.45,0.19,0.36,0.45,0.19,0.36,0.45,0.19,0.36
2014,45073973,19179494,32816049,44947723,19142556,32973152,45252699,19171499,32999853,0.46,0.2,0.34,0.46,0.2,0.34,0.46,0.2,0.34
2015,46444153,19339760,31908556,46622158,19573468,32255779,46576847,19366319,31995677,0.48,0.2,0.33,0.47,0.2,0.33,0.48,0.2,0.33
2016,44408344,18480428,30653157,44482649,18546166,30449487,44573680,18534263,30819318,0.47,0.2,0.33,0.48,0.2,0.33,0.47,0.2,0.33
2017,44092751,18700758,32257325,43414172,18547566,32043036,43778906,18706954,32141532,0.46,0.2,0.34,0.46,0.2,0.34,0.46,0.2,0.34
2018,59734514,25969204,47197528,59456915,26081869,47474495,59560723,25953686,47414728,0.45,0.2,0.36,0.45,0.2,0.36,0.45,0.2,0.36
2019,27315938,11658914,19564498,31574102,13692505,22524492,17076355,7224576,12678450,0.47,0.17,0.33,0.47,0.2,0.33,0.46,0.2,0.34
